1,245,11,8373,8483,39,1,245,11,140,43,8483,1,740,245,7,17052,30,1,2314,0,
3,54,19975,10,9,1668,7,19976,2410,19977,5596,19978,0,61,1,30,0,0,0,0,0,
2,16,135,64,0,2,89,9186,2,2765,2278,1947,18,2765,2278,0,55,29,466,186,0,
0,17332,1901,11,17333,1901,4,5,198,0,0,0,0,0,0,0,0,0,0,0,0,
3,17619,177,5400,66,17620,23,0,151,2191,59,0,0,0,0,0,0,0,0,0,0,
2,5336,3305,292,132,101,3123,21948,3744,121,32,2259,0,0,0,0,0,0,0,0,0,
2,8,17946,17947,17948,1925,642,1,25,7,17949,17950,148,17951,0,0,0,0,0,0,0,
2,49,125,1510,224,1,369,1222,4228,33,634,589,3917,1510,224,6,115,62,0,0,0,
2,3394,14,112,127,22689,0,4105,3994,17,26,22690,6,0,0,0,0,0,0,0,0,
1,4,5,10,256,3548,0,1896,39,1896,144,72,3,9113,1597,406,0,0,0,0,0,
4,8489,3339,4182,94,317,5886,14,67,1,2106,3553,8489,0,3339,2597,124,2863,0,0,0,
1,196,19635,84,19636,3648,698,1377,4206,0,0,0,0,0,0,0,0,0,0,0,0,
2,292,27,599,3,139,21682,39,47,362,1,734,4,1568,21683,0,2660,21684,312,0,0,
0,5654,19189,262,8303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,25,41,9378,20,237,5,292,108,237,1939,6,0,0,0,0,0,0,0,0,0,
2,2242,111,157,459,203,81,9442,1611,962,2596,41,3351,11,1165,121,1811,0,0,0,0,
3,21532,19,21533,21534,0,180,21535,21536,0,0,0,0,0,0,0,0,0,0,0,0,
4,2408,402,255,46,205,19449,85,895,9,0,0,0,0,0,0,0,0,0,0,0,
4,13,332,18878,2172,676,3458,1,104,16,1885,42,1267,18879,18880,28,0,0,0,0,0,
3,1529,21673,191,19,2305,6,1,11,760,15,285,9333,540,612,21674,2645,612,10,0,0,
1,1002,759,0,55,1,0,1230,29,4,6163,228,500,1002,759,0,55,1,0,5109,0,
0,17794,17795,17796,8,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,18,1202,333,1778,4,823,35,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,43,456,20,36,2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,13,2041,0,20682,1703,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,21,5,94,17,1994,7665,5520,0,2010,0,0,0,0,0,0,0,0,0,0,0,
2,22759,22760,2936,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,731,235,22332,22333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,154,1034,22579,44,258,758,17,863,44,2999,290,1034,22580,216,3609,15,70,3,0,0,
4,1036,107,5508,1,2,239,8488,86,17,30,76,7,875,17064,47,5508,17065,0,0,0,
2,1783,0,14,140,0,1783,4,0,55,21881,4006,12,462,2,110,9,89,0,0,0,
3,18,7,200,63,22733,83,5313,1358,73,17,68,142,2167,11,3515,152,0,0,0,0,
4,2269,104,17,2064,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,586,4,60,489,0,195,98,233,0,0,0,0,0,0,0,0,0,0,0,0,
4,8,133,68,3736,212,395,8587,0,190,2520,18915,18916,8904,170,6,0,0,0,0,0,
4,8634,47,353,17660,4141,1391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,593,8536,0,17265,18,4,4288,278,8537,4,5,198,18,4,0,21,8537,0,0,0,
4,993,3396,2160,2677,587,27,38,86,340,76,0,0,0,0,0,0,0,0,0,0,
