0,918,171,24,92,10475,0,2947,79,6231,0,11,2,4520,739,2947,6231,15,6232,0,0,
0,1963,15413,3076,43,0,5,1199,35,112,288,105,345,112,0,0,0,0,0,0,0,
3,32,478,15362,15363,15364,717,8021,8,23,4118,7416,2,69,1136,0,0,0,0,0,0,
2,124,15825,1,0,2781,7,15826,150,3,325,87,894,1035,243,126,5409,1474,0,0,0,
2,2265,0,11795,32,665,11796,6778,1,4,4820,4821,1137,1609,0,45,143,0,0,0,0,
1,14109,1956,7616,6605,7616,295,2,5,0,0,0,0,0,0,0,0,0,0,0,0,
2,586,31,13870,0,13871,108,286,89,1,250,31,586,41,13872,106,481,6,0,0,0,
1,13,524,0,3035,84,3036,3583,998,6,202,268,2,3667,6515,12,1065,599,0,0,0,
3,722,1181,3425,15013,15014,15015,5314,15016,5315,705,15017,15018,1107,15019,508,0,0,0,0,0,
3,1278,14,730,2880,0,1670,30,115,346,9887,134,1,1279,1278,551,28,12,108,9888,0,
3,100,5,2458,0,200,102,2,1686,6035,1027,0,658,0,0,0,0,0,0,0,0,
0,74,1636,764,2456,543,569,56,29,4029,751,1987,7606,1351,14084,0,0,0,0,0,0,
2,154,16221,16222,0,2447,17,448,997,3461,6,0,0,0,0,0,0,0,0,0,0,
1,57,97,2327,0,14,67,259,20,97,15890,11,477,0,2327,95,1,27,438,7212,116,
4,137,2079,319,10984,4650,36,91,290,6456,10985,263,2564,3,255,7,41,530,530,0,0,
1,1833,14,1,799,15,58,1833,3467,23,5,55,965,27,3,240,438,0,0,0,0,
0,13,7476,62,79,7476,896,0,2597,69,88,701,198,1681,1823,13662,0,13663,4,0,0,
0,1534,375,348,6006,0,259,13,171,633,8,449,449,6007,73,0,153,6,0,0,0,
3,2686,100,15344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,6444,6445,11,10942,6445,0,198,2,5,0,0,0,0,0,0,0,0,0,0,0,
2,379,3795,1548,27,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,140,49,330,4,1389,6748,1639,1045,357,11727,13,2,5,1506,126,32,51,35,0,0,
2,47,921,3866,11,995,0,944,13803,0,0,0,0,0,0,0,0,0,0,0,0,
3,21,5,2678,377,92,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,3011,928,47,26,218,40,10,111,50,3,3108,11810,928,222,47,26,218,40,34,23,
2,8240,17,1215,2007,3384,16180,16181,482,1153,48,17,1629,3218,141,8240,2145,0,0,0,0,
1,2872,1808,7346,7347,132,2872,1808,7346,7347,1509,4731,7348,0,0,0,0,0,0,0,0,
1,1316,241,1,0,1316,4601,3,438,138,6396,129,850,71,3,479,10844,0,0,0,0,
2,5825,1265,9655,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,465,4,10717,10718,10719,1911,4580,295,1193,956,10720,10721,0,0,0,0,0,0,0,0,
2,18,1,0,5982,9987,0,5983,356,5984,4,1045,18,1,0,5984,9988,0,0,0,0,
2,1496,15410,2660,15411,860,213,0,1418,207,0,0,0,0,0,0,0,0,0,0,0,
1,2315,1220,476,208,1,28,1314,6676,1862,1836,7,1,0,1179,73,799,132,14106,0,0,
